ablation,algorithm,errors,fail_rate,family,feature_coverage,median_dual_residual,median_gap,median_primal_residual,median_runtime,origin,policy_id,policy_variant,proof_count,score,split,variant,verification_mode,verified,warnings
baseline,DRS,,0.0,drs_feasibility,0.0,5.4e-05,0.749419,4.6e-05,0.013093,baseline,vanilla,vanilla,1,-0.761317,train,baseline,strict,True,"Required features not referenced by policy: k, residual_norm"
baseline,DRS,,0.0,drs_feasibility,0.5,0.000159,0.750419,0.000134,0.012253,baseline,adaptive,adaptive,6,-1.311923,train,baseline,strict,True,Required features not referenced by policy: k
baseline,DRS,,0.0,drs_feasibility,0.0,0.000434,0.752118,0.000364,0.013165,baseline,conservative,conservative,2,-0.963442,train,baseline,strict,True,"Required features not referenced by policy: k, residual_norm"
safe_fallback_only,DRS,,0.0,drs_feasibility,0.0,5.4e-05,0.749419,4.6e-05,0.012583,safe_fallback_only,safe_fallback_only,safe_fallback_only,1,-0.761241,train,safe_fallback_only,strict,True,"Required features not referenced by policy: k, residual_norm"
llm_only_one_shot,DRS,,0.0,drs_feasibility,0.5,0.000157,0.750406,0.000132,0.011722,llm_one_shot,llm_one_shot,llm_one_shot,6,-1.411833,train,llm_only_one_shot,strict,True,Required features not referenced by policy: k
without_reflection,DRS,,0.0,drs_feasibility,0.5,0.000236,0.751,0.000198,0.010562,without_reflection,prompt_variant,prompt_variant,6,-1.412118,train,without_reflection,strict,True,Required features not referenced by policy: k
without_evolution,DRS,,0.0,drs_feasibility,0.0,0.000434,0.752118,0.000364,0.013502,without_evolution,model_variant,model_variant,2,-0.963491,train,without_evolution,strict,True,"Required features not referenced by policy: k, residual_norm"
prompt_variant,DRS,,0.0,drs_feasibility,0.5,0.000236,0.751,0.000198,0.010002,prompt_variant,prompt_variant,prompt_variant,6,-1.412035,train,prompt_variant,strict,True,Required features not referenced by policy: k
llm_model_variant,DRS,,0.0,drs_feasibility,0.0,0.000434,0.752118,0.000364,0.010335,llm_model_variant,model_variant,model_variant,2,-0.963022,train,llm_model_variant,strict,True,"Required features not referenced by policy: k, residual_norm"
random_search_same_budget,DRS,,0.0,drs_feasibility,0.5,0.000159,0.750419,0.000134,0.010897,grid_search,grid_candidate_1,grid_candidate_1,6,-1.311722,train,random_search_same_budget,strict,True,Required features not referenced by policy: k
bo_same_budget,DRS,,0.0,drs_feasibility,0.5,0.000171,0.750484,0.000144,0.011911,bayesian_optimisation,bayes_proxy_ablation,,6,-1.311926,train,bo_same_budget,strict,True,Required features not referenced by policy: k
bo_same_budget_deep,DRS,,0.0,drs_feasibility,0.5,0.000189,0.75058,0.000159,0.015049,bayesian_optimisation,bayes_proxy_ablation_deep,,6,-1.312473,train,bo_same_budget_deep,strict,True,Required features not referenced by policy: k
evolution_without_llm,DRS,,0.0,drs_feasibility,0.5,0.000302,0.751438,0.000252,0.011703,evolution_without_llm,evolution_no_llm_ablation,,6,-1.312636,train,evolution_without_llm,strict,True,Required features not referenced by policy: k
learned_controller_high_budget,DRS,,0.0,drs_feasibility,1.0,0.048691,0.990387,0.048691,0.011199,learned_controller,learned_controller_high_budget,learned_controller_high_budget,1152,-3.620823,train,learned_controller_high_budget,strict,True,
learned_controller_paper_scale,DRS,,0.0,drs_feasibility,1.0,0.048691,0.990387,0.048691,0.011486,learned_controller,learned_controller_paper_scale,learned_controller_paper_scale,1152,-3.620865,train,learned_controller_paper_scale,strict,True,
temperature_0p3,DRS,,0.0,drs_feasibility,0.5,0.000213,0.750832,0.000178,0.01182,temperature_variant,temperature_0p3_variant,,6,-1.312174,train,temperature_0p3,strict,True,Required features not referenced by policy: k
temperature_0p7,DRS,,0.0,drs_feasibility,0.5,0.000183,0.750545,0.000154,0.009348,temperature_variant,temperature_0p7_variant,,6,-1.311598,train,temperature_0p7,strict,True,Required features not referenced by policy: k
without_verifier,DRS,,0.0,drs_feasibility,,0.000157,0.750406,0.000132,0.010462,without_verifier,unsafe_no_verifier,unsafe_no_verifier,0,-1.411646,train,without_verifier,bypassed,,
