ablation,algorithm,errors,fail_rate,family,feature_coverage,median_dual_residual,median_gap,median_primal_residual,median_runtime,origin,policy_id,policy_variant,proof_count,score,split,variant,verification_mode,verified,warnings
baseline,LNS_REPAIR,,0.0,lns_repair_cover,0.0,0.31041,0.0,0.0,0.012791,baseline,vanilla,vanilla,1,-0.337077,train,baseline,strict,True,"Required features not referenced by policy: fractionality, k, mip_gap, neighbourhood_size"
baseline,LNS_REPAIR,,0.0,lns_repair_cover,0.5,0.31041,0.0,0.0,0.013237,baseline,adaptive,adaptive,6,-0.887143,train,baseline,strict,True,"Required features not referenced by policy: k, neighbourhood_size"
baseline,LNS_REPAIR,,0.0,lns_repair_cover,0.25,0.31041,0.0,0.0,0.012986,baseline,conservative,conservative,2,-0.537105,train,baseline,strict,True,"Required features not referenced by policy: k, mip_gap, neighbourhood_size"
safe_fallback_only,LNS_REPAIR,,0.0,lns_repair_cover,0.0,0.31041,0.0,0.0,0.012213,safe_fallback_only,safe_fallback_only,safe_fallback_only,1,-0.336991,train,safe_fallback_only,strict,True,"Required features not referenced by policy: fractionality, k, mip_gap, neighbourhood_size"
llm_only_one_shot,LNS_REPAIR,,0.0,lns_repair_cover,0.5,0.31041,0.0,0.0,0.013596,llm_one_shot,llm_one_shot,llm_one_shot,6,-1.037196,train,llm_only_one_shot,strict,True,"Required features not referenced by policy: k, neighbourhood_size"
without_reflection,LNS_REPAIR,,0.0,lns_repair_cover,0.5,0.31041,0.0,0.0,0.012541,without_reflection,prompt_variant,prompt_variant,6,-1.08704,train,without_reflection,strict,True,"Required features not referenced by policy: k, neighbourhood_size"
without_evolution,LNS_REPAIR,,0.0,lns_repair_cover,0.25,0.31041,0.0,0.0,0.015699,without_evolution,model_variant,model_variant,2,-0.537507,train,without_evolution,strict,True,"Required features not referenced by policy: k, mip_gap, neighbourhood_size"
prompt_variant,LNS_REPAIR,,0.0,lns_repair_cover,0.5,0.31041,0.0,0.0,0.016213,prompt_variant,prompt_variant,prompt_variant,6,-1.087583,train,prompt_variant,strict,True,"Required features not referenced by policy: k, neighbourhood_size"
llm_model_variant,LNS_REPAIR,,0.0,lns_repair_cover,0.25,0.31041,0.0,0.0,0.014842,llm_model_variant,model_variant,model_variant,2,-0.53738,train,llm_model_variant,strict,True,"Required features not referenced by policy: k, mip_gap, neighbourhood_size"
random_search_same_budget,LNS_REPAIR,,0.0,lns_repair_cover,0.5,0.31041,0.0,0.0,0.015868,grid_search,grid_candidate_1,grid_candidate_1,6,-0.887532,train,random_search_same_budget,strict,True,"Required features not referenced by policy: k, neighbourhood_size"
bo_same_budget,LNS_REPAIR,,0.0,lns_repair_cover,0.5,0.31041,0.0,0.0,0.014928,bayesian_optimisation,bayes_proxy_ablation,,6,-0.887393,train,bo_same_budget,strict,True,"Required features not referenced by policy: k, neighbourhood_size"
bo_same_budget_deep,LNS_REPAIR,,0.0,lns_repair_cover,0.5,0.31041,0.0,0.0,0.018078,bayesian_optimisation,bayes_proxy_ablation_deep,,6,-0.887858,train,bo_same_budget_deep,strict,True,"Required features not referenced by policy: k, neighbourhood_size"
evolution_without_llm,LNS_REPAIR,Action damp value 1.03 exceeds maximum 1.,,lns_repair_cover,0.5,,,,,evolution_without_llm,evolution_no_llm_ablation,,6,,train,evolution_without_llm,strict,False,"Required features not referenced by policy: k, neighbourhood_size"
learned_controller_high_budget,LNS_REPAIR,,0.0,lns_repair_cover,0.75,2.559949,2.612398,0.0,0.01558,learned_controller,learned_controller_high_budget,learned_controller_high_budget,1152,-4.821564,train,learned_controller_high_budget,strict,True,Required features not referenced by policy: neighbourhood_size
learned_controller_paper_scale,LNS_REPAIR,,0.0,lns_repair_cover,0.75,2.559949,2.612398,0.0,0.017482,learned_controller,learned_controller_paper_scale,learned_controller_paper_scale,1152,-4.821845,train,learned_controller_paper_scale,strict,True,Required features not referenced by policy: neighbourhood_size
temperature_0p3,LNS_REPAIR,,0.0,lns_repair_cover,0.5,0.31041,0.0,0.0,0.014809,temperature_variant,temperature_0p3_variant,,6,-0.887375,train,temperature_0p3,strict,True,"Required features not referenced by policy: k, neighbourhood_size"
temperature_0p7,LNS_REPAIR,Action damp value 1.04 exceeds maximum 1.,,lns_repair_cover,0.5,,,,,temperature_variant,temperature_0p7_variant,,6,,train,temperature_0p7,strict,False,"Required features not referenced by policy: k, neighbourhood_size"
without_verifier,LNS_REPAIR,,0.0,lns_repair_cover,,0.31041,0.0,0.0,0.014953,without_verifier,unsafe_no_verifier,unsafe_no_verifier,0,-1.037397,train,without_verifier,bypassed,,
