acquisition_score,algorithm,errors,fail_rate,feature_coverage,iteration,lineage_depth,median_gap,median_iterations,median_runtime,median_violation,origin,parent,policy_id,problem_family,proof_count,score,seed_parent,selection_stage,variant,verified,warnings
-0.510492,PDHG,,0.0,0.4,0,0,0.030207,80,0.001521,0.04272,grid_search,,bo_seed_grid_1,miplib_rootlp,2,-0.530492,,seed,grid_candidate_1,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
-2.175807,PDHG,,0.0,0.4,0,0,0.63983,80,0.00177,1.502919,grid_search,,bo_seed_grid_2,miplib_rootlp,4,-2.195807,,seed,grid_candidate_2,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
-3.109311,PDHG,,0.0,0.4,0,0,1.0,80,0.00195,2.44949,baseline,,bo_seed_adaptive,miplib_rootlp,6,-3.129311,,seed,adaptive,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
-3.109247,PDHG,,0.0,0.4,1,1,1.0,80,0.001525,2.44949,bayesian_optimisation,bo_seed_grid_1,bayes_iter_01,miplib_rootlp,6,-3.129247,bo_seed_grid_1,acquisition,,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
-3.109248,PDHG,,0.0,0.4,2,1,1.0,80,0.001527,2.44949,bayesian_optimisation,bo_seed_grid_2,bayes_iter_02,miplib_rootlp,6,-3.129248,bo_seed_grid_2,acquisition,,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
-3.10928,PDHG,,0.0,0.4,3,2,1.0,80,0.001742,2.44949,bayesian_optimisation,bayes_iter_03_s0,bayes_iter_03,miplib_rootlp,6,-3.12928,bo_seed_grid_1,acquisition,,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
-3.109259,PDHG,,0.0,0.4,4,2,1.0,80,0.001604,2.44949,bayesian_optimisation,bayes_iter_04_s0,bayes_iter_04,miplib_rootlp,6,-3.129259,bo_seed_grid_1,acquisition,,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
-3.109261,PDHG,,0.0,0.4,5,2,1.0,80,0.001618,2.44949,bayesian_optimisation,bayes_iter_05_s0,bayes_iter_05,miplib_rootlp,6,-3.129261,bo_seed_grid_1,acquisition,,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
-3.109261,PDHG,,0.0,0.4,6,2,1.0,80,0.001613,2.44949,bayesian_optimisation,bayes_iter_06_s0,bayes_iter_06,miplib_rootlp,6,-3.129261,bo_seed_grid_1,acquisition,,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
-3.10926,PDHG,,0.0,0.4,7,2,1.0,80,0.001609,2.44949,bayesian_optimisation,bayes_iter_07_s0,bayes_iter_07,miplib_rootlp,6,-3.12926,bo_seed_grid_1,acquisition,,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
-3.109259,PDHG,,0.0,0.4,8,2,1.0,80,0.001604,2.44949,bayesian_optimisation,bayes_iter_08_s0,bayes_iter_08,miplib_rootlp,6,-3.129259,bo_seed_grid_1,acquisition,,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
-3.109278,PDHG,,0.0,0.4,9,1,1.0,80,0.001728,2.44949,bayesian_optimisation,bo_seed_grid_1,bayes_iter_09,miplib_rootlp,6,-3.129278,bo_seed_grid_1,acquisition,,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
