algorithm,errors,fail_rate,feature_coverage,median_gap,origin,parent,policy_id,proof_count,score,smoke_ok,smoke_reason,verified,warnings
PDHG,,0.0,0.4,1.0,search_seed,,search_seed,6,-3.129217,True,,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
PDHG,,0.0,0.0,0.63983,mutation,,search_variant_1,2,-1.995709,True,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,,0.0,0.0,0.47618,mutation,,search_variant_2,2,-1.764571,True,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,,0.0,0.0,0.47618,evolution_no_llm,search_variant_2,evo_g01_p00_c00,2,-1.764587,True,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,,0.0,0.0,0.47618,evolution_no_llm,search_variant_2,evo_g01_p00_c01,2,-1.764575,True,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,,0.0,0.0,0.63983,evolution_no_llm,search_variant_1,evo_g01_p01_c00,2,-1.995712,True,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,,0.0,0.0,0.63983,evolution_no_llm,search_variant_1,evo_g01_p01_c01,2,-1.995718,True,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,,0.0,0.0,0.47618,evolution_no_llm,search_variant_2,evo_g02_p00_c00,2,-1.764575,True,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,,0.0,0.0,0.47618,evolution_no_llm,search_variant_2,evo_g02_p00_c01,2,-1.764571,True,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,,0.0,0.0,0.47618,evolution_no_llm,evo_g01_p00_c01,evo_g02_p01_c00,2,-1.764571,True,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,,0.0,0.0,0.47618,evolution_no_llm,evo_g01_p00_c01,evo_g02_p01_c01,2,-1.764573,True,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
