algorithm,errors,fail_rate,feature_coverage,median_gap,origin,parent,policy_id,proof_count,score,smoke_ok,smoke_reason,verified,warnings
PDHG,,0.0,0.4,0.784892,search_seed,,search_seed,6,-2.682364,True,,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
PDHG,,0.0,0.0,0.278459,mutation,,search_variant_1,2,-1.222828,True,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,,0.0,0.0,0.271429,mutation,,search_variant_2,2,-1.267633,True,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,,0.0,0.0,0.251052,evolution_no_llm,search_variant_1,evo_g01_p00_c00,2,-1.209272,True,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,,0.0,0.0,0.279666,evolution_no_llm,search_variant_1,evo_g01_p00_c01,2,-1.223384,True,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,,0.0,0.0,0.271429,evolution_no_llm,search_variant_2,evo_g01_p01_c00,2,-1.267621,True,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,,0.0,0.0,0.271429,evolution_no_llm,search_variant_2,evo_g01_p01_c01,2,-1.267623,True,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,,0.0,0.0,0.298036,evolution_no_llm,evo_g01_p00_c00,evo_g02_p00_c00,2,-1.274577,True,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,,0.0,0.0,0.283264,evolution_no_llm,evo_g01_p00_c00,evo_g02_p00_c01,2,-1.22475,True,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,,0.0,0.0,0.297804,evolution_no_llm,search_variant_1,evo_g02_p01_c00,2,-1.282408,True,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,,0.0,0.0,0.297571,evolution_no_llm,search_variant_1,evo_g02_p01_c01,2,-1.283304,True,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
