errors,evaluation_mode,fail_rate,feature_coverage,median_gap,policy_id,scenario,score,source_problem_family,source_scale,split,target_problem_family,target_scale,verified
,standard_split,0.0,0.0,0.0,vanilla,train,-0.200176,admm_qp,,train,admm_qp,,True
,standard_split,0.0,0.5,0.0,adaptive,train,-0.850181,admm_qp,,train,admm_qp,,True
,standard_split,0.0,0.5,0.0,conservative,train,-0.600185,admm_qp,,train,admm_qp,,True
,standard_split,0.0,0.0,0.0,safe_fallback_only,train,-0.200175,admm_qp,,train,admm_qp,,True
,standard_split,0.0,0.5,0.0,learned_controller,train,-0.750183,admm_qp,,train,admm_qp,,True
,standard_split,0.0,0.5,0.0,llm_one_shot,train,-0.750178,admm_qp,,train,admm_qp,,True
,standard_split,0.0,0.0,0.0,vanilla,validation,-0.200226,admm_qp,,validation,admm_qp,,True
,standard_split,0.0,0.5,0.0,adaptive,validation,-0.850232,admm_qp,,validation,admm_qp,,True
,standard_split,0.0,0.5,0.0,conservative,validation,-0.600234,admm_qp,,validation,admm_qp,,True
,standard_split,0.0,0.0,0.0,safe_fallback_only,validation,-0.200225,admm_qp,,validation,admm_qp,,True
,standard_split,0.0,0.5,0.0,learned_controller,validation,-0.750239,admm_qp,,validation,admm_qp,,True
,standard_split,0.0,0.5,0.0,llm_one_shot,validation,-0.750233,admm_qp,,validation,admm_qp,,True
,standard_split,0.0,0.0,0.0,vanilla,test,-0.200279,admm_qp,,test,admm_qp,,True
,standard_split,0.0,0.5,0.0,adaptive,test,-0.850288,admm_qp,,test,admm_qp,,True
,standard_split,0.0,0.5,0.0,conservative,test,-0.600295,admm_qp,,test,admm_qp,,True
,standard_split,0.0,0.0,0.0,safe_fallback_only,test,-0.200276,admm_qp,,test,admm_qp,,True
,standard_split,0.0,0.5,0.0,learned_controller,test,-0.750292,admm_qp,,test,admm_qp,,True
,standard_split,0.0,0.5,0.0,llm_one_shot,test,-0.750288,admm_qp,,test,admm_qp,,True
,train_small_test_large,0.0,0.0,0.0,vanilla,train_small_test_large,-0.200282,admm_qp,small_train,test,admm_qp,large_test,True
,train_small_test_large,0.0,0.5,0.0,adaptive,train_small_test_large,-0.85029,admm_qp,small_train,test,admm_qp,large_test,True
,train_small_test_large,0.0,0.5,0.0,conservative,train_small_test_large,-0.600292,admm_qp,small_train,test,admm_qp,large_test,True
,train_small_test_large,0.0,0.0,0.0,safe_fallback_only,train_small_test_large,-0.200281,admm_qp,small_train,test,admm_qp,large_test,True
,train_small_test_large,0.0,0.5,0.0,learned_controller,train_small_test_large,-0.750294,admm_qp,small_train,test,admm_qp,large_test,True
,train_small_test_large,0.0,0.5,0.0,llm_one_shot,train_small_test_large,-0.750294,admm_qp,small_train,test,admm_qp,large_test,True
,cross_problem_transfer,0.0,0.0,0.087353,vanilla,box_qp_to_relaxation,-0.284069,admm_qp,box_qp,test,admm_qp_relaxation,relaxation_shift,True
,cross_problem_transfer,0.0,0.5,0.087353,adaptive,box_qp_to_relaxation,-0.934078,admm_qp,box_qp,test,admm_qp_relaxation,relaxation_shift,True
,cross_problem_transfer,0.0,0.5,0.087353,conservative,box_qp_to_relaxation,-0.684079,admm_qp,box_qp,test,admm_qp_relaxation,relaxation_shift,True
,cross_problem_transfer,0.0,0.0,0.087353,safe_fallback_only,box_qp_to_relaxation,-0.284078,admm_qp,box_qp,test,admm_qp_relaxation,relaxation_shift,True
,cross_problem_transfer,0.0,0.5,0.087353,learned_controller,box_qp_to_relaxation,-0.834086,admm_qp,box_qp,test,admm_qp_relaxation,relaxation_shift,True
,cross_problem_transfer,0.0,0.5,0.087353,llm_one_shot,box_qp_to_relaxation,-0.834082,admm_qp,box_qp,test,admm_qp_relaxation,relaxation_shift,True
