errors,evaluation_mode,fail_rate,feature_coverage,median_gap,policy_id,scenario,score,source_problem_family,source_scale,split,target_problem_family,target_scale,verified
,standard_split,0.0,0.0,0.002001,vanilla,train,-0.204024,alm_eq_qp,,train,alm_eq_qp,,True
,standard_split,0.0,0.3333,0.000108,adaptive,train,-0.700453,alm_eq_qp,,train,alm_eq_qp,,True
,standard_split,0.0,0.3333,0.001057,conservative,train,-0.501947,alm_eq_qp,,train,alm_eq_qp,,True
,standard_split,0.0,0.0,0.002001,safe_fallback_only,train,-0.204022,alm_eq_qp,,train,alm_eq_qp,,True
,standard_split,0.0,0.3333,0.000108,learned_controller,train,-0.700454,alm_eq_qp,,train,alm_eq_qp,,True
,standard_split,0.0,0.6667,0.002173,llm_one_shot,train,-1.105366,alm_eq_qp,,train,alm_eq_qp,,True
,standard_split,0.0,0.0,0.006146,vanilla,validation,-0.216176,alm_eq_qp,,validation,alm_eq_qp,,True
,standard_split,0.0,0.3333,0.002117,adaptive,validation,-0.705581,alm_eq_qp,,validation,alm_eq_qp,,True
,standard_split,0.0,0.3333,0.004482,conservative,validation,-0.508122,alm_eq_qp,,validation,alm_eq_qp,,True
,standard_split,0.0,0.0,0.006146,safe_fallback_only,validation,-0.216182,alm_eq_qp,,validation,alm_eq_qp,,True
,standard_split,0.0,0.3333,0.002117,learned_controller,validation,-0.705585,alm_eq_qp,,validation,alm_eq_qp,,True
,standard_split,0.0,0.6667,0.008453,llm_one_shot,validation,-1.117487,alm_eq_qp,,validation,alm_eq_qp,,True
,standard_split,0.0,0.0,0.018545,vanilla,test,-0.27237,alm_eq_qp,,test,alm_eq_qp,,True
,standard_split,0.0,0.3333,0.028731,adaptive,test,-0.804908,alm_eq_qp,,test,alm_eq_qp,,True
,standard_split,0.0,0.3333,0.023239,conservative,test,-0.587311,alm_eq_qp,,test,alm_eq_qp,,True
,standard_split,0.0,0.0,0.018545,safe_fallback_only,test,-0.272357,alm_eq_qp,,test,alm_eq_qp,,True
,standard_split,0.0,0.3333,0.028731,learned_controller,test,-0.804901,alm_eq_qp,,test,alm_eq_qp,,True
,standard_split,0.0,0.6667,0.03358,llm_one_shot,test,-1.232643,alm_eq_qp,,test,alm_eq_qp,,True
,train_small_test_large,0.0,0.0,0.018545,vanilla,train_small_test_large,-0.272372,alm_eq_qp,small_train,test,alm_eq_qp,large_test,True
,train_small_test_large,0.0,0.3333,0.028731,adaptive,train_small_test_large,-0.804925,alm_eq_qp,small_train,test,alm_eq_qp,large_test,True
,train_small_test_large,0.0,0.3333,0.023239,conservative,train_small_test_large,-0.587312,alm_eq_qp,small_train,test,alm_eq_qp,large_test,True
,train_small_test_large,0.0,0.0,0.018545,safe_fallback_only,train_small_test_large,-0.272359,alm_eq_qp,small_train,test,alm_eq_qp,large_test,True
,train_small_test_large,0.0,0.3333,0.028731,learned_controller,train_small_test_large,-0.804898,alm_eq_qp,small_train,test,alm_eq_qp,large_test,True
,train_small_test_large,0.0,0.6667,0.03358,llm_one_shot,train_small_test_large,-1.232627,alm_eq_qp,small_train,test,alm_eq_qp,large_test,True
,cross_problem_transfer,0.0,0.0,1.631309,vanilla,equality_qp_to_cover_relaxation,-1.838086,alm_eq_qp,equality_qp,test,alm_cover_relaxation,cover_relaxation,True
,cross_problem_transfer,0.0,0.3333,1.332323,adaptive,equality_qp_to_cover_relaxation,-2.069821,alm_eq_qp,equality_qp,test,alm_cover_relaxation,cover_relaxation,True
,cross_problem_transfer,0.0,0.3333,1.503589,conservative,equality_qp_to_cover_relaxation,-2.091638,alm_eq_qp,equality_qp,test,alm_cover_relaxation,cover_relaxation,True
,cross_problem_transfer,0.0,0.0,1.631309,safe_fallback_only,equality_qp_to_cover_relaxation,-1.838085,alm_eq_qp,equality_qp,test,alm_cover_relaxation,cover_relaxation,True
,cross_problem_transfer,0.0,0.3333,1.332323,learned_controller,equality_qp_to_cover_relaxation,-2.069824,alm_eq_qp,equality_qp,test,alm_cover_relaxation,cover_relaxation,True
,cross_problem_transfer,0.0,0.6667,1.375362,llm_one_shot,equality_qp_to_cover_relaxation,-2.897079,alm_eq_qp,equality_qp,test,alm_cover_relaxation,cover_relaxation,True
