errors,evaluation_mode,fail_rate,feature_coverage,median_gap,policy_id,scenario,score,source_problem_family,source_scale,split,target_problem_family,target_scale,verified
,standard_split,0.0,0.0,2e-06,vanilla,train,-0.290512,fista_lasso,,train,fista_lasso,,True
,standard_split,0.0,0.4,1.9e-05,adaptive,train,-0.940838,fista_lasso,,train,fista_lasso,,True
,standard_split,0.0,0.4,0.000597,conservative,train,-0.594374,fista_lasso,,train,fista_lasso,,True
,standard_split,0.0,0.0,2e-06,safe_fallback_only,train,-0.290445,fista_lasso,,train,fista_lasso,,True
,standard_split,0.0,0.4,0.384758,learned_controller,train,-1.300107,fista_lasso,,train,fista_lasso,,True
,standard_split,0.0,0.4,0.000203,llm_one_shot,train,-0.79289,fista_lasso,,train,fista_lasso,,True
,standard_split,0.0,0.0,3.8e-05,vanilla,validation,-0.291407,fista_lasso,,validation,fista_lasso,,True
,standard_split,0.0,0.4,0.000143,adaptive,validation,-0.942738,fista_lasso,,validation,fista_lasso,,True
,standard_split,0.0,0.4,0.004045,conservative,validation,-0.605857,fista_lasso,,validation,fista_lasso,,True
,standard_split,0.0,0.0,3.8e-05,safe_fallback_only,validation,-0.291341,fista_lasso,,validation,fista_lasso,,True
,standard_split,0.0,0.4,1.115197,learned_controller,validation,-1.827888,fista_lasso,,validation,fista_lasso,,True
,standard_split,0.0,0.4,0.001754,llm_one_shot,validation,-0.798865,fista_lasso,,validation,fista_lasso,,True
,standard_split,0.0,0.0,0.00013,vanilla,test,-0.301974,fista_lasso,,test,fista_lasso,,True
,standard_split,0.0,0.4,0.000333,adaptive,test,-0.955743,fista_lasso,,test,fista_lasso,,True
,standard_split,0.0,0.4,0.064869,conservative,test,-0.693971,fista_lasso,,test,fista_lasso,,True
,standard_split,0.0,0.0,0.00013,safe_fallback_only,test,-0.301956,fista_lasso,,test,fista_lasso,,True
,standard_split,0.0,0.4,1.932113,learned_controller,test,-2.262781,fista_lasso,,test,fista_lasso,,True
,standard_split,0.0,0.4,0.005398,llm_one_shot,test,-0.821105,fista_lasso,,test,fista_lasso,,True
,train_small_test_large,0.0,0.0,0.00013,vanilla,train_small_test_large,-0.302044,fista_lasso,small_train,test,fista_lasso,large_test,True
,train_small_test_large,0.0,0.4,0.000333,adaptive,train_small_test_large,-0.955751,fista_lasso,small_train,test,fista_lasso,large_test,True
,train_small_test_large,0.0,0.4,0.064869,conservative,train_small_test_large,-0.694109,fista_lasso,small_train,test,fista_lasso,large_test,True
,train_small_test_large,0.0,0.0,0.00013,safe_fallback_only,train_small_test_large,-0.302072,fista_lasso,small_train,test,fista_lasso,large_test,True
,train_small_test_large,0.0,0.4,1.932113,learned_controller,train_small_test_large,-2.262673,fista_lasso,small_train,test,fista_lasso,large_test,True
,train_small_test_large,0.0,0.4,0.005398,llm_one_shot,train_small_test_large,-0.821042,fista_lasso,small_train,test,fista_lasso,large_test,True
,cross_problem_transfer,0.0,0.0,0.001672,vanilla,lasso_to_sparse_coding,-0.34169,fista_lasso,lasso,test,fista_sparse_coding,sparse_coding,True
,cross_problem_transfer,0.0,0.4,0.193653,adaptive,lasso_to_sparse_coding,-1.308488,fista_lasso,lasso,test,fista_sparse_coding,sparse_coding,True
,cross_problem_transfer,0.0,0.4,0.727333,conservative,lasso_to_sparse_coding,-1.455434,fista_lasso,lasso,test,fista_sparse_coding,sparse_coding,True
,cross_problem_transfer,0.0,0.0,0.001672,safe_fallback_only,lasso_to_sparse_coding,-0.34172,fista_lasso,lasso,test,fista_sparse_coding,sparse_coding,True
,cross_problem_transfer,0.0,0.4,0.865193,learned_controller,lasso_to_sparse_coding,-1.865046,fista_lasso,lasso,test,fista_sparse_coding,sparse_coding,True
,cross_problem_transfer,0.0,0.4,0.449739,llm_one_shot,lasso_to_sparse_coding,-1.424878,fista_lasso,lasso,test,fista_sparse_coding,sparse_coding,True
