errors,evaluation_mode,fail_rate,feature_coverage,median_gap,policy_id,scenario,score,source_problem_family,source_scale,split,target_problem_family,target_scale,verified
,standard_split,0.0,0.0,0.0,vanilla,train,-0.335377,lns_repair_cover,,train,lns_repair_cover,,True
,standard_split,0.0,0.5,0.0,adaptive,train,-0.885371,lns_repair_cover,,train,lns_repair_cover,,True
,standard_split,0.0,0.25,0.0,conservative,train,-0.53538,lns_repair_cover,,train,lns_repair_cover,,True
,standard_split,0.0,0.0,0.0,safe_fallback_only,train,-0.335372,lns_repair_cover,,train,lns_repair_cover,,True
,standard_split,0.0,0.5,0.0,learned_controller,train,-0.885368,lns_repair_cover,,train,lns_repair_cover,,True
,standard_split,0.0,0.5,0.0,llm_one_shot,train,-1.035373,lns_repair_cover,,train,lns_repair_cover,,True
,standard_split,0.0,0.0,0.0,vanilla,validation,-0.367436,lns_repair_cover,,validation,lns_repair_cover,,True
,standard_split,0.0,0.5,0.0,adaptive,validation,-0.917447,lns_repair_cover,,validation,lns_repair_cover,,True
,standard_split,0.0,0.25,0.0,conservative,validation,-0.567439,lns_repair_cover,,validation,lns_repair_cover,,True
,standard_split,0.0,0.0,0.0,safe_fallback_only,validation,-0.367431,lns_repair_cover,,validation,lns_repair_cover,,True
,standard_split,0.0,0.5,0.0,learned_controller,validation,-0.917444,lns_repair_cover,,validation,lns_repair_cover,,True
,standard_split,0.0,0.5,0.0,llm_one_shot,validation,-1.067442,lns_repair_cover,,validation,lns_repair_cover,,True
,standard_split,0.0,0.0,0.0,vanilla,test,-0.380133,lns_repair_cover,,test,lns_repair_cover,,True
,standard_split,0.0,0.5,0.0,adaptive,test,-0.93014,lns_repair_cover,,test,lns_repair_cover,,True
,standard_split,0.0,0.25,0.0,conservative,test,-0.580128,lns_repair_cover,,test,lns_repair_cover,,True
,standard_split,0.0,0.0,0.0,safe_fallback_only,test,-0.380131,lns_repair_cover,,test,lns_repair_cover,,True
,standard_split,0.0,0.5,0.0,learned_controller,test,-0.93013,lns_repair_cover,,test,lns_repair_cover,,True
,standard_split,0.0,0.5,0.0,llm_one_shot,test,-1.080132,lns_repair_cover,,test,lns_repair_cover,,True
,train_small_test_large,0.0,0.0,0.0,vanilla,train_small_test_large,-0.380122,lns_repair_cover,small_train,test,lns_repair_cover,large_test,True
,train_small_test_large,0.0,0.5,0.0,adaptive,train_small_test_large,-0.930129,lns_repair_cover,small_train,test,lns_repair_cover,large_test,True
,train_small_test_large,0.0,0.25,0.0,conservative,train_small_test_large,-0.580128,lns_repair_cover,small_train,test,lns_repair_cover,large_test,True
,train_small_test_large,0.0,0.0,0.0,safe_fallback_only,train_small_test_large,-0.380121,lns_repair_cover,small_train,test,lns_repair_cover,large_test,True
,train_small_test_large,0.0,0.5,0.0,learned_controller,train_small_test_large,-0.930129,lns_repair_cover,small_train,test,lns_repair_cover,large_test,True
,train_small_test_large,0.0,0.5,0.0,llm_one_shot,train_small_test_large,-1.08013,lns_repair_cover,small_train,test,lns_repair_cover,large_test,True
,cross_problem_transfer,0.0,0.0,0.0,vanilla,cover_repair_to_dense_cover,-0.49878,lns_repair_cover,sparse_cover,test,lns_repair_cover_dense,dense_cover,True
,cross_problem_transfer,0.0,0.5,0.0,adaptive,cover_repair_to_dense_cover,-1.04879,lns_repair_cover,sparse_cover,test,lns_repair_cover_dense,dense_cover,True
,cross_problem_transfer,0.0,0.25,0.85382,conservative,cover_repair_to_dense_cover,-1.57909,lns_repair_cover,sparse_cover,test,lns_repair_cover_dense,dense_cover,True
,cross_problem_transfer,0.0,0.0,0.0,safe_fallback_only,cover_repair_to_dense_cover,-0.498783,lns_repair_cover,sparse_cover,test,lns_repair_cover_dense,dense_cover,True
,cross_problem_transfer,0.0,0.5,0.0,learned_controller,cover_repair_to_dense_cover,-1.048804,lns_repair_cover,sparse_cover,test,lns_repair_cover_dense,dense_cover,True
,cross_problem_transfer,0.0,0.5,0.0,llm_one_shot,cover_repair_to_dense_cover,-1.198802,lns_repair_cover,sparse_cover,test,lns_repair_cover_dense,dense_cover,True
