errors,evaluation_mode,fail_rate,feature_coverage,median_gap,policy_id,scenario,score,source_problem_family,source_scale,split,target_problem_family,target_scale,verified
,standard_split,0.0,0.0,3e-06,vanilla,train,-0.468176,pcg_linear_system,,train,pcg_linear_system,,True
,standard_split,0.0,0.0,5e-06,adaptive,train,-0.918176,pcg_linear_system,,train,pcg_linear_system,,True
,standard_split,0.0,0.0,6e-06,conservative,train,-0.668171,pcg_linear_system,,train,pcg_linear_system,,True
,standard_split,0.0,0.0,3e-06,safe_fallback_only,train,-0.468155,pcg_linear_system,,train,pcg_linear_system,,True
,standard_split,0.0,0.0,5e-06,learned_controller,train,-0.91816,pcg_linear_system,,train,pcg_linear_system,,True
,standard_split,0.0,0.0,5e-06,llm_one_shot,train,-1.218168,pcg_linear_system,,train,pcg_linear_system,,True
,standard_split,0.0,0.0,2e-06,vanilla,validation,-0.55514,pcg_linear_system,,validation,pcg_linear_system,,True
,standard_split,0.0,0.0,4e-06,adaptive,validation,-1.005148,pcg_linear_system,,validation,pcg_linear_system,,True
,standard_split,0.0,0.0,5e-06,conservative,validation,-0.755153,pcg_linear_system,,validation,pcg_linear_system,,True
,standard_split,0.0,0.0,2e-06,safe_fallback_only,validation,-0.555157,pcg_linear_system,,validation,pcg_linear_system,,True
,standard_split,0.0,0.0,4e-06,learned_controller,validation,-1.005162,pcg_linear_system,,validation,pcg_linear_system,,True
,standard_split,0.0,0.0,5e-06,llm_one_shot,validation,-1.305163,pcg_linear_system,,validation,pcg_linear_system,,True
,standard_split,0.0,0.0,2e-06,vanilla,test,-0.712338,pcg_linear_system,,test,pcg_linear_system,,True
,standard_split,0.0,0.0,3e-06,adaptive,test,-1.162328,pcg_linear_system,,test,pcg_linear_system,,True
,standard_split,0.0,0.0,4e-06,conservative,test,-0.912327,pcg_linear_system,,test,pcg_linear_system,,True
,standard_split,0.0,0.0,2e-06,safe_fallback_only,test,-0.712305,pcg_linear_system,,test,pcg_linear_system,,True
,standard_split,0.0,0.0,3e-06,learned_controller,test,-1.162328,pcg_linear_system,,test,pcg_linear_system,,True
,standard_split,0.0,0.0,4e-06,llm_one_shot,test,-1.462331,pcg_linear_system,,test,pcg_linear_system,,True
,train_small_test_large,0.0,0.0,2e-06,vanilla,train_small_test_large,-0.712337,pcg_linear_system,small_train,test,pcg_linear_system,large_test,True
,train_small_test_large,0.0,0.0,3e-06,adaptive,train_small_test_large,-1.16232,pcg_linear_system,small_train,test,pcg_linear_system,large_test,True
,train_small_test_large,0.0,0.0,4e-06,conservative,train_small_test_large,-0.912341,pcg_linear_system,small_train,test,pcg_linear_system,large_test,True
,train_small_test_large,0.0,0.0,2e-06,safe_fallback_only,train_small_test_large,-0.712331,pcg_linear_system,small_train,test,pcg_linear_system,large_test,True
,train_small_test_large,0.0,0.0,3e-06,learned_controller,train_small_test_large,-1.16233,pcg_linear_system,small_train,test,pcg_linear_system,large_test,True
,train_small_test_large,0.0,0.0,4e-06,llm_one_shot,train_small_test_large,-1.462333,pcg_linear_system,small_train,test,pcg_linear_system,large_test,True
,cross_problem_transfer,0.0,0.0,1e-06,vanilla,linear_system_to_graph_laplacian,-1.010072,pcg_linear_system,dense_spd,test,pcg_graph_laplacian,graph_laplacian,True
,cross_problem_transfer,0.0,0.0,6e-06,adaptive,linear_system_to_graph_laplacian,-1.460048,pcg_linear_system,dense_spd,test,pcg_graph_laplacian,graph_laplacian,True
,cross_problem_transfer,0.0,0.0,0.000452,conservative,linear_system_to_graph_laplacian,-1.21105,pcg_linear_system,dense_spd,test,pcg_graph_laplacian,graph_laplacian,True
,cross_problem_transfer,0.0,0.0,1e-06,safe_fallback_only,linear_system_to_graph_laplacian,-1.010029,pcg_linear_system,dense_spd,test,pcg_graph_laplacian,graph_laplacian,True
,cross_problem_transfer,0.0,0.0,6e-06,learned_controller,linear_system_to_graph_laplacian,-1.460068,pcg_linear_system,dense_spd,test,pcg_graph_laplacian,graph_laplacian,True
,cross_problem_transfer,0.0,0.0,6e-06,llm_one_shot,linear_system_to_graph_laplacian,-1.760075,pcg_linear_system,dense_spd,test,pcg_graph_laplacian,graph_laplacian,True
