errors,evaluation_mode,fail_rate,feature_coverage,median_gap,policy_id,scenario,score,source_problem_family,source_scale,split,target_problem_family,target_scale,verified
,standard_split,0.0,0.0,0.0,vanilla,train,-0.200179,llm_lns_is,,train,llm_lns_is,,True
,standard_split,0.0,0.4,15.709057,adaptive,train,-8.556178,llm_lns_is,,train,llm_lns_is,,True
,standard_split,0.0,0.0,1.53662,conservative,train,-3.50494,llm_lns_is,,train,llm_lns_is,,True
,standard_split,0.0,0.0,0.0,safe_fallback_only,train,-0.200177,llm_lns_is,,train,llm_lns_is,,True
,standard_split,0.0,0.4,14.377601,learned_controller,train,-8.107996,llm_lns_is,,train,llm_lns_is,,True
,standard_split,0.0,0.0,17.153104,llm_one_shot,train,-8.589995,llm_lns_is,,train,llm_lns_is,,True
,standard_split,0.0,0.0,0.0,vanilla,validation,-0.200226,llm_lns_is,,validation,llm_lns_is,,True
,standard_split,0.0,0.4,15.709057,adaptive,validation,-8.558232,llm_lns_is,,validation,llm_lns_is,,True
,standard_split,0.0,0.0,1.534044,conservative,validation,-3.539591,llm_lns_is,,validation,llm_lns_is,,True
,standard_split,0.0,0.0,0.0,safe_fallback_only,validation,-0.200215,llm_lns_is,,validation,llm_lns_is,,True
,standard_split,0.0,0.4,14.377601,learned_controller,validation,-8.357302,llm_lns_is,,validation,llm_lns_is,,True
,standard_split,0.0,0.0,17.153104,llm_one_shot,validation,-8.624489,llm_lns_is,,validation,llm_lns_is,,True
,standard_split,0.0,0.0,0.0,vanilla,test,-0.200179,llm_lns_is,,test,llm_lns_is,,True
,standard_split,0.0,0.4,19.342581,adaptive,test,-8.75295,llm_lns_is,,test,llm_lns_is,,True
,standard_split,0.0,0.0,1.85832,conservative,test,-3.621864,llm_lns_is,,test,llm_lns_is,,True
,standard_split,0.0,0.0,0.0,safe_fallback_only,test,-0.200188,llm_lns_is,,test,llm_lns_is,,True
,standard_split,0.0,0.4,14.95386,learned_controller,test,-8.249012,llm_lns_is,,test,llm_lns_is,,True
,standard_split,0.0,0.0,20.872622,llm_one_shot,test,-8.776394,llm_lns_is,,test,llm_lns_is,,True
,train_small_test_large,0.0,0.0,0.0,vanilla,train_small_test_large,-0.200186,llm_lns_is,small_train,test,llm_lns_is,large_test,True
,train_small_test_large,0.0,0.4,19.342581,adaptive,train_small_test_large,-8.752983,llm_lns_is,small_train,test,llm_lns_is,large_test,True
,train_small_test_large,0.0,0.0,1.85832,conservative,train_small_test_large,-3.621858,llm_lns_is,small_train,test,llm_lns_is,large_test,True
,train_small_test_large,0.0,0.0,0.0,safe_fallback_only,train_small_test_large,-0.200179,llm_lns_is,small_train,test,llm_lns_is,large_test,True
,train_small_test_large,0.0,0.4,14.95386,learned_controller,train_small_test_large,-8.249009,llm_lns_is,small_train,test,llm_lns_is,large_test,True
,train_small_test_large,0.0,0.0,20.872622,llm_one_shot,train_small_test_large,-8.776393,llm_lns_is,small_train,test,llm_lns_is,large_test,True
,cross_problem_transfer,0.0,0.0,0.311988,vanilla,independent_set_to_setcover,-0.472127,llm_lns_is,independent_set,test,llm_lns_sc,set_cover,True
,cross_problem_transfer,0.0,0.4,1.0,adaptive,independent_set_to_setcover,-3.354627,llm_lns_is,independent_set,test,llm_lns_sc,set_cover,True
,cross_problem_transfer,0.0,0.0,0.872664,conservative,independent_set_to_setcover,-2.661051,llm_lns_is,independent_set,test,llm_lns_sc,set_cover,True
,cross_problem_transfer,0.0,0.0,0.311988,safe_fallback_only,independent_set_to_setcover,-0.472127,llm_lns_is,independent_set,test,llm_lns_sc,set_cover,True
,cross_problem_transfer,0.0,0.4,1.0,learned_controller,independent_set_to_setcover,-3.254636,llm_lns_is,independent_set,test,llm_lns_sc,set_cover,True
,cross_problem_transfer,0.0,0.0,1.0,llm_one_shot,independent_set_to_setcover,-3.204624,llm_lns_is,independent_set,test,llm_lns_sc,set_cover,True
