errors,evaluation_mode,fail_rate,feature_coverage,median_gap,policy_id,scenario,score,source_problem_family,source_scale,split,target_problem_family,target_scale,verified
,standard_split,0.0,0.0,0.007177,vanilla,train,-0.207982,llm_lns_sc,,train,llm_lns_sc,,True
,standard_split,0.0,0.4,1.0,adaptive,train,-3.354629,llm_lns_sc,,train,llm_lns_sc,,True
,standard_split,0.0,0.0,0.910018,conservative,train,-2.680789,llm_lns_sc,,train,llm_lns_sc,,True
,standard_split,0.0,0.0,0.007177,safe_fallback_only,train,-0.207978,llm_lns_sc,,train,llm_lns_sc,,True
,standard_split,0.0,0.4,1.0,learned_controller,train,-3.254641,llm_lns_sc,,train,llm_lns_sc,,True
,standard_split,0.0,0.0,1.0,llm_one_shot,train,-3.20462,llm_lns_sc,,train,llm_lns_sc,,True
,standard_split,0.0,0.0,0.007177,vanilla,validation,-0.219902,llm_lns_sc,,validation,llm_lns_sc,,True
,standard_split,0.0,0.4,1.0,adaptive,validation,-3.574697,llm_lns_sc,,validation,llm_lns_sc,,True
,standard_split,0.0,0.0,0.910018,conservative,validation,-2.941816,llm_lns_sc,,validation,llm_lns_sc,,True
,standard_split,0.0,0.0,0.007177,safe_fallback_only,validation,-0.219901,llm_lns_sc,,validation,llm_lns_sc,,True
,standard_split,0.0,0.4,1.0,learned_controller,validation,-3.474698,llm_lns_sc,,validation,llm_lns_sc,,True
,standard_split,0.0,0.0,1.0,llm_one_shot,validation,-3.424697,llm_lns_sc,,validation,llm_lns_sc,,True
,standard_split,0.0,0.0,0.311988,vanilla,test,-0.472122,llm_lns_sc,,test,llm_lns_sc,,True
,standard_split,0.0,0.4,1.0,adaptive,test,-3.354624,llm_lns_sc,,test,llm_lns_sc,,True
,standard_split,0.0,0.0,0.872664,conservative,test,-2.661032,llm_lns_sc,,test,llm_lns_sc,,True
,standard_split,0.0,0.0,0.311988,safe_fallback_only,test,-0.472137,llm_lns_sc,,test,llm_lns_sc,,True
,standard_split,0.0,0.4,1.0,learned_controller,test,-3.254641,llm_lns_sc,,test,llm_lns_sc,,True
,standard_split,0.0,0.0,1.0,llm_one_shot,test,-3.204622,llm_lns_sc,,test,llm_lns_sc,,True
,train_small_test_large,0.0,0.0,0.311988,vanilla,train_small_test_large,-0.472124,llm_lns_sc,small_train,test,llm_lns_sc,large_test,True
,train_small_test_large,0.0,0.4,1.0,adaptive,train_small_test_large,-3.354623,llm_lns_sc,small_train,test,llm_lns_sc,large_test,True
,train_small_test_large,0.0,0.0,0.872664,conservative,train_small_test_large,-2.661032,llm_lns_sc,small_train,test,llm_lns_sc,large_test,True
,train_small_test_large,0.0,0.0,0.311988,safe_fallback_only,train_small_test_large,-0.472121,llm_lns_sc,small_train,test,llm_lns_sc,large_test,True
,train_small_test_large,0.0,0.4,1.0,learned_controller,train_small_test_large,-3.254624,llm_lns_sc,small_train,test,llm_lns_sc,large_test,True
,train_small_test_large,0.0,0.0,1.0,llm_one_shot,train_small_test_large,-3.204624,llm_lns_sc,small_train,test,llm_lns_sc,large_test,True
,cross_problem_transfer,0.0,0.0,0.0,vanilla,setcover_to_independent_set,-0.20018,llm_lns_sc,set_cover,test,llm_lns_is,independent_set,True
,cross_problem_transfer,0.0,0.4,19.342581,adaptive,setcover_to_independent_set,-8.752941,llm_lns_sc,set_cover,test,llm_lns_is,independent_set,True
,cross_problem_transfer,0.0,0.0,1.85832,conservative,setcover_to_independent_set,-3.621855,llm_lns_sc,set_cover,test,llm_lns_is,independent_set,True
,cross_problem_transfer,0.0,0.0,0.0,safe_fallback_only,setcover_to_independent_set,-0.200189,llm_lns_sc,set_cover,test,llm_lns_is,independent_set,True
,cross_problem_transfer,0.0,0.4,14.95386,learned_controller,setcover_to_independent_set,-8.249006,llm_lns_sc,set_cover,test,llm_lns_is,independent_set,True
,cross_problem_transfer,0.0,0.0,20.872622,llm_one_shot,setcover_to_independent_set,-8.776408,llm_lns_sc,set_cover,test,llm_lns_is,independent_set,True
