algorithm,backend_detail,backend_mode,errors,fail_rate,feature_coverage,median_dual_residual,median_gap,median_iterations,median_primal_residual,median_runtime,median_violation,native_backend,native_used,origin,parent,policy_id,problem_family,proof_count,score,smoke_ok,smoke_reason,verified,warnings
ADMM,,,,0.0,0.0,0.0,0.0,60,0.0,0.001259,0.0,,,baseline,,vanilla,admm_qp,1,-0.200189,True,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, rho"
ADMM,,,,0.0,0.5,0.0,0.0,60,0.0,0.001251,0.0,,,baseline,,adaptive,admm_qp,6,-0.850188,True,,True,"Action scale_rho is emitted without reading state feature rho. | Action scale_rho is emitted without reading state feature rho. | Required features not referenced by policy: k, rho"
ADMM,,,,0.0,0.5,0.0,0.0,60,0.0,0.001263,0.0,,,baseline,,conservative,admm_qp,3,-0.600189,True,,True,"Action scale_rho is emitted without reading state feature rho. | Action scale_rho is emitted without reading state feature rho. | Required features not referenced by policy: k, rho"
ADMM,ModuleNotFoundError: No module named 'highspy',surrogate,,0.0,,0.0,0.0,1,0.0,0.001204,0.0,,False,solver_baseline,,HiGHS,admm_qp,,-0.00018,,,,
ADMM,ModuleNotFoundError: No module named 'osqp',surrogate,,0.0,,0.0,0.0,1,0.0,0.001003,0.0,,False,solver_baseline,,OSQP,admm_qp,,-0.00015,,,,
ALM,,,,0.0,,0.002136,0.002001,70,0.000664,0.001037,0.000664,,,baseline,,vanilla,alm_eq_qp,,-0.204018,,,,
ALM,,,,0.0,,0.00053,0.000214,70,0.000108,0.001066,0.000108,,,baseline,,adaptive,alm_eq_qp,,-0.700768,,,,
ALM,,,,0.0,,0.000424,0.001057,70,0.000424,0.001068,0.000424,,,baseline,,conservative,alm_eq_qp,,-0.501937,,,,
DRS,,,,0.0,,0.00179,0.724358,70,0.001525,0.000891,0.001525,,,baseline,,vanilla,drs_feasibility,,-0.747711,,,,
DRS,,,,0.0,,0.003156,0.729108,70,0.002708,0.000915,0.002708,,,baseline,,adaptive,drs_feasibility,,-1.302564,,,,
DRS,,,,0.0,,0.005684,0.737791,70,0.004848,0.000911,0.004848,,,baseline,,conservative,drs_feasibility,,-0.961389,,,,
PDHG,,,,0.0,0.4,,0.784892,,,,,,,search_seed,,search_seed,,6,-2.682364,True,,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
PDHG,,,,0.0,0.0,,0.278459,,,,,,,mutation,,search_variant_1,,2,-1.222828,True,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,,,,0.0,0.0,,0.271429,,,,,,,mutation,,search_variant_2,,2,-1.267633,True,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,,,,0.0,0.0,,0.251052,,,,,,,evolution_no_llm,search_variant_1,evo_g01_p00_c00,,2,-1.209272,True,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,,,,0.0,0.0,,0.279666,,,,,,,evolution_no_llm,search_variant_1,evo_g01_p00_c01,,2,-1.223384,True,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,,,,0.0,0.0,,0.271429,,,,,,,evolution_no_llm,search_variant_2,evo_g01_p01_c00,,2,-1.267621,True,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,,,,0.0,0.0,,0.271429,,,,,,,evolution_no_llm,search_variant_2,evo_g01_p01_c01,,2,-1.267623,True,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,,,,0.0,0.0,,0.298036,,,,,,,evolution_no_llm,evo_g01_p00_c00,evo_g02_p00_c00,,2,-1.274577,True,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
