algorithm,errors,fail_rate,feature_coverage,median_gap,origin,parent,policy_id,proof_count,score,smoke_ok,smoke_reason,verified,warnings
PDHG,,0.0,0.4,1.0,search_seed,,search_seed,6,-3.129212,True,,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
PDHG,,0.0,0.0,0.63983,mutation,,search_variant_1,2,-1.995713,True,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,,0.0,0.0,0.47618,mutation,,search_variant_2,2,-1.764574,True,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,,0.0,0.4,1.0,random_search,search_seed,random_00,6,-3.129224,True,,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
PDHG,,0.0,0.0,0.47618,random_search,random_01_s1,random_01,2,-1.764573,True,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,,0.0,0.4,1.0,random_search,search_seed,random_02,6,-3.129208,True,,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
PDHG,,0.0,0.0,0.63983,random_search,random_03_s0,random_03,2,-1.995713,True,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,,0.0,0.0,0.47618,random_search,search_variant_2,random_04,2,-1.764597,True,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,,0.0,0.0,0.47618,random_search,random_05_s0,random_05,2,-1.764572,True,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,,0.0,0.0,0.639826,random_search,random_06_s1,random_06,2,-1.995708,True,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,,0.0,0.0,0.63983,random_search,random_07_s0,random_07,2,-1.995718,True,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
