algorithm,meta_parent,meta_split,origin,policy_id,problem_family,score,verified
PDHG,,train,search_seed,search_seed,pdhg_lp,-2.6823661060925303,True
PDHG,,train,mutation,search_variant_1,pdhg_lp,-1.2228458196015846,True
PDHG,,train,mutation,search_variant_2,pdhg_lp,-1.2676416757447835,True
PDHG,search_variant_1,train,random_search,random_00,pdhg_lp,-1.2253763263784665,True
PDHG,random_01_s0,train,random_search,random_01,pdhg_lp,-1.2676276757381064,True
PDHG,random_02_s1,train,random_search,random_02,pdhg_lp,-2.823941657431825,True
PDHG,random_03_s1,train,random_search,random_03,pdhg_lp,-2.7464263093075574,True
PDHG,random_04_s1,train,random_search,random_04,pdhg_lp,-1.2133523522362037,True
PDHG,search_variant_1,train,random_search,random_05,pdhg_lp,-1.2139203763077662,True
PDHG,search_seed,train,random_search,random_06,pdhg_lp,-2.6757988537982462,True
PDHG,random_07_s1,train,random_search,random_07,pdhg_lp,-1.2676302472658656,True
