algorithm,backend_detail,backend_mode,errors,fail_rate,feature_coverage,median_dual_residual,median_gap,median_iterations,median_primal_residual,median_runtime,median_violation,meta_parent,meta_split,native_backend,native_used,origin,parent,policy_id,problem_family,proof_count,score,smoke_ok,smoke_reason,source_table,split,verified,warnings
PDHG,,,,0.0,0.0,0.000109,6.4e-05,80,9e-05,0.001321,9e-05,,,,,baseline,,vanilla,miplib_rootlp,1,-0.200424,True,,pdhg_miplib_rootlp_train.csv,,True,"Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,,,,0.0,0.4,0.0,1.0,80,2.44949,0.001843,2.44949,,,,,baseline,,adaptive,miplib_rootlp,6,-3.129295,True,,pdhg_miplib_rootlp_train.csv,,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, sigma, tau"
PDHG,,,,0.0,0.0,0.0,0.779422,80,1.832307,0.001311,1.832307,,,,,baseline,,conservative,miplib_rootlp,2,-2.325795,True,,pdhg_miplib_rootlp_train.csv,,True,"Action scale_tau is emitted without reading state feature tau. | Action scale_sigma is emitted without reading state feature sigma. | Required features not referenced by policy: k, r_d_norm, r_p_norm, sigma, tau"
PDHG,ModuleNotFoundError: No module named 'highspy',surrogate,,0.0,,0.0,0.0,1,0.0,0.00121,0.0,,,,False,solver_baseline,,HiGHS,miplib_rootlp,,-0.000181,,,pdhg_miplib_rootlp_train.csv,,,
PDHG,ModuleNotFoundError: No module named 'ortools',surrogate,,0.0,,0.0,0.0,1,0.0,0.001305,0.0,,,,False,solver_baseline,,OR-Tools,miplib_rootlp,,-0.000196,,,pdhg_miplib_rootlp_train.csv,,,
PDHG,,,,,,,,,,,,,train,,,search_seed,,search_seed,miplib_rootlp,,-3.129235651392036,,,search_archive_pdhg_miplib_rootlp_train.csv,,True,
PDHG,,,,,,,,,,,,,train,,,mutation,,search_variant_1,miplib_rootlp,,-1.9957904913364812,,,search_archive_pdhg_miplib_rootlp_train.csv,,True,
PDHG,,,,,,,,,,,,,train,,,mutation,,search_variant_2,miplib_rootlp,,-1.7645744899926918,,,search_archive_pdhg_miplib_rootlp_train.csv,,True,
PDHG,,,,,,,,,,,,search_seed,train,,,reflection,,search_seed_reflect,miplib_rootlp,,-3.129242686316569,,,search_archive_pdhg_miplib_rootlp_train.csv,,True,
PDHG,,,,,,,,,,,,search_variant_1,train,,,funsearch_mutation,,search_variant_1_g2,miplib_rootlp,,-1.9958181783043596,,,search_archive_pdhg_miplib_rootlp_train.csv,,True,
