algorithm,meta_parent,meta_split,origin,policy_id,problem_family,score,verified
ALM,,train,search_seed,search_seed,alm_eq_qp,-0.7072279944373984,True
ALM,,train,mutation,search_variant_1,alm_eq_qp,-1.114429368041417,True
ALM,,train,mutation,search_variant_2,alm_eq_qp,-0.9686654585210926,True
ALM,llm,train,llm_generated,llm_seed,alm_eq_qp,-0.2071524368397876,True
ALM,search_seed,train,reflection,search_seed_reflect,alm_eq_qp,-0.7074758385159177,True
ALM,search_variant_1,train,funsearch_mutation,search_variant_1_g2,alm_eq_qp,-1.1106315845019459,True
ALM,search_variant_2,train,funsearch_mutation,search_variant_2_g2,alm_eq_qp,-0.9629856285020438,True
ALM,llm_seed,train,llm_generated,llm_seed_reflect,alm_eq_qp,-0.2071382149893927,True
ALM,llm_seed_reflect,train,funsearch_mutation,llm_seed_reflect_top1,alm_eq_qp,-0.20713281890937624,True
ALM,llm_seed,train,funsearch_mutation,llm_seed_top2,alm_eq_qp,-0.20716190541454393,True
